,droplet_count,time_in_s,added_size
187,592,31.163333333333334,141557
188,591,31.330000000000005,141590
189,598,31.496666666666673,142523
190,603,31.663333333333334,143352
191,593,31.830000000000005,143155
192,579,31.996666666666673,142328
193,599,32.163333333333334,142930
194,593,32.330000000000005,143326
195,611,32.49666666666667,143740
196,603,32.663333333333334,144589
197,605,32.830000000000005,144592
198,596,32.99666666666667,144215
199,592,33.163333333333334,144018
200,613,33.330000000000005,144466
201,617,33.49666666666667,145044
202,610,33.663333333333334,146242
203,606,33.830000000000005,146687
204,558,33.99666666666667,146300
205,601,34.163333333333334,147121
206,594,34.330000000000005,147755
207,612,34.49666666666667,147213
208,587,34.663333333333334,148712
209,597,34.830000000000005,148910
210,598,34.99666666666667,148619
211,593,35.163333333333334,148796
212,612,35.330000000000005,150360
213,621,35.49666666666667,148987
214,611,35.663333333333334,149780
215,147,35.830000000000005,150063
216,603,35.99666666666667,149930
217,600,36.163333333333334,150363
218,627,36.330000000000005,151049
219,608,36.49666666666667,150634
220,617,36.663333333333334,151644
221,622,36.830000000000005,151567
222,619,36.99666666666667,152450
223,626,37.163333333333334,152237
224,621,37.330000000000005,153232
225,623,37.49666666666667,152815
226,620,37.663333333333334,153970
227,626,37.830000000000005,154357
228,600,37.99666666666667,154464
229,627,38.163333333333334,154545
230,651,38.330000000000005,155616
231,636,38.49666666666667,155460
232,653,38.663333333333334,155747
233,152,38.830000000000005,156221
234,604,38.99666666666667,156844
235,603,39.163333333333334,156164
236,600,39.330000000000005,157031
237,625,39.49666666666667,157636
238,626,39.663333333333334,158337
239,152,39.830000000000005,157187
240,592,39.99666666666667,158132
241,634,40.163333333333334,158589
242,641,40.330000000000005,158092
243,633,40.49666666666667,158202
244,629,40.663333333333334,159074
245,633,40.830000000000005,158470
246,612,40.99666666666667,160120
247,608,41.163333333333334,160008
248,629,41.330000000000005,159618
249,638,41.49666666666667,160460
250,604,41.663333333333334,161177
251,641,41.830000000000005,161204
252,590,41.99666666666667,160636
253,611,42.163333333333334,161359
254,627,42.330000000000005,161523
255,622,42.49666666666667,162116
256,645,42.663333333333334,162384
257,632,42.830000000000005,162194
258,621,42.99666666666667,162016
259,653,43.163333333333334,162271
260,664,43.330000000000005,163029
261,671,43.49666666666667,163620
262,629,43.663333333333334,164246
263,625,43.830000000000005,164018
264,608,43.99666666666667,163590
265,617,44.163333333333334,163391
266,636,44.330000000000005,164084
267,636,44.49666666666667,163986
268,631,44.663333333333334,164912
269,641,44.830000000000005,164809
270,629,44.99666666666667,165366
271,624,45.163333333333334,164858
272,624,45.330000000000005,166161
273,625,45.49666666666667,165840
